Questions,Answers
How do I get a beta test version of Python?¶,"Alpha and beta releases are available from https://www.python.org/downloads/.  All
releases are announced on the comp.lang.python and comp.lang.python.announce
newsgroups and on the Python home page at https://www.python.org/; an RSS feed of
news is available.
You can also access the development version of Python through Git.  See
The Python Developers Guide for details."
How do I submit bug reports and patches for Python?¶,"To report a bug or submit a patch, use the issue tracker at
https://github.com/python/cpython/issues.
For more information on how Python is developed, consult the Python Developers
Guide."
Are there any published articles about Python that I can reference?¶,"Its probably best to cite your favorite book about Python.
The very first article about Python was
written in 1991 and is now quite outdated.
Guido van Rossum and Jelke de Boer, Interactively Testing Remote Servers
Using the Python Programming Language, CWI Quarterly, Volume 4, Issue 4
(December 1991), Amsterdam, pp 283303."
Are there any books on Python?¶,"Yes, there are many, and more are being published.  See the python.org wiki at
https://wiki.python.org/moin/PythonBooks for a list.
You can also search online bookstores for Python and filter out the Monty
Python references; or perhaps search for Python and language."
Where in the world is www.python.org located?¶,"The Python projects infrastructure is located all over the world and is managed
by the Python Infrastructure Team. Details here."
Why is it called Python?¶,"When he began implementing Python, Guido van Rossum was also reading the
published scripts from Monty Pythons Flying Circus, a BBC comedy series from the 1970s.  Van Rossum
thought he needed a name that was short, unique, and slightly mysterious, so he
decided to call the language Python."
Do I have to like Monty Pythons Flying Circus?¶,"No, but it helps.  :)"
How stable is Python?¶,"Very stable.  New, stable releases have been coming out roughly every 6 to 18
months since 1991, and this seems likely to continue.  As of version 3.9,
Python will have a new feature release every 12 months (PEP 602).
The developers issue bugfix releases of older versions, so the stability of
existing releases gradually improves.  Bugfix releases, indicated by a third
component of the version number (e.g. 3.5.3, 3.6.2), are managed for stability;
only fixes for known problems are included in a bugfix release, and its
guaranteed that interfaces will remain the same throughout a series of bugfix
releases.
The latest stable releases can always be found on the Python download page.  There are two production-ready versions
of Python: 2.x and 3.x. The recommended version is 3.x, which is supported by
most widely used libraries.  Although 2.x is still widely used, it is not
maintained anymore.
There are probably millions of users, though its difficult to obtain an exact
count.
Python is available for free download, so there are no sales figures, and its
available from many different sites and packaged with many Linux distributions,
so download statistics dont tell the whole story either.
The comp.lang.python newsgroup is very active, but not all Python users post to
the group or even read it.
See https://www.python.org/about/success for a list of projects that use Python.
Consulting the proceedings for past Python conferences will reveal contributions from many
different companies and organizations.
High-profile Python projects include the Mailman mailing list manager and the Zope application server.  Several Linux distributions, most notably Red Hat, have written part or all of their installer and
system administration software in Python.  Companies that use Python internally
include Google, Yahoo, and Lucasfilm Ltd.
See https://peps.python.org/ for the Python Enhancement Proposals
(PEPs). PEPs are design documents describing a suggested new feature for Python,
providing a concise technical specification and a rationale.  Look for a PEP
titled Python X.Y Release Schedule, where X.Y is a version that hasnt been
publicly released yet.
New development is discussed on the python-dev mailing list.
In general, no.  There are already millions of lines of Python code around the
world, so any change in the language that invalidates more than a very small
fraction of existing programs has to be frowned upon.  Even if you can provide a
conversion program, theres still the problem of updating all documentation;
many books have been written about Python, and we dont want to invalidate them
all at a single stroke.
Providing a gradual upgrade path is necessary if a feature has to be changed.
PEP 5 describes the procedure followed for introducing backward-incompatible
changes while minimizing disruption for users.
Yes.
It is still common to start students with a procedural and statically typed
language such as Pascal, C, or a subset of C++ or Java.  Students may be better
served by learning Python as their first language.  Python has a very simple and
consistent syntax and a large standard library and, most importantly, using
Python in a beginning programming course lets students concentrate on important
programming skills such as problem decomposition and data type design.  With
Python, students can be quickly introduced to basic concepts such as loops and
procedures.  They can probably even work with user-defined objects in their very
first course.
For a student who has never programmed before, using a statically typed language
seems unnatural.  It presents additional complexity that the student must master
and slows the pace of the course.  The students are trying to learn to think
like a computer, decompose problems, design consistent interfaces, and
encapsulate data.  While learning to use a statically typed language is
important in the long term, it is not necessarily the best topic to address in
the students first programming course.
Many other aspects of Python make it a good first language.  Like Java, Python
has a large standard library so that students can be assigned programming
projects very early in the course that do something.  Assignments arent
restricted to the standard four-function calculator and check balancing
programs.  By using the standard library, students can gain the satisfaction of
working on realistic applications as they learn the fundamentals of programming.
Using the standard library also teaches students about code reuse.  Third-party
modules such as PyGame are also helpful in extending the students reach.
Pythons interactive interpreter enables students to test language features
while theyre programming.  They can keep a window with the interpreter running
while they enter their programs source in another window.  If they cant
remember the methods for a list, they can do something like this:
With the interpreter, documentation is never far from the student as they are
programming.
There are also good IDEs for Python.  IDLE is a cross-platform IDE for Python
that is written in Python using Tkinter.
Emacs users will be happy to know that there is a very good Python mode for
Emacs.  All of these programming environments provide syntax highlighting,
auto-indenting, and access to the interactive interpreter while coding.  Consult
the Python wiki for a full list
of Python editing environments.
If you want to discuss Pythons use in education, you may be interested in
joining the edu-sig mailing list."
How many people are using Python?¶,"There are probably millions of users, though its difficult to obtain an exact
count.
Python is available for free download, so there are no sales figures, and its
available from many different sites and packaged with many Linux distributions,
so download statistics dont tell the whole story either.
The comp.lang.python newsgroup is very active, but not all Python users post to
the group or even read it."
Have any significant projects been done in Python?¶,"See https://www.python.org/about/success for a list of projects that use Python.
Consulting the proceedings for past Python conferences will reveal contributions from many
different companies and organizations.
High-profile Python projects include the Mailman mailing list manager and the Zope application server.  Several Linux distributions, most notably Red Hat, have written part or all of their installer and
system administration software in Python.  Companies that use Python internally
include Google, Yahoo, and Lucasfilm Ltd."
What new developments are expected for Python in the future?¶,"See https://peps.python.org/ for the Python Enhancement Proposals
(PEPs). PEPs are design documents describing a suggested new feature for Python,
providing a concise technical specification and a rationale.  Look for a PEP
titled Python X.Y Release Schedule, where X.Y is a version that hasnt been
publicly released yet.
New development is discussed on the python-dev mailing list."
Is it reasonable to propose incompatible changes to Python?¶,"In general, no.  There are already millions of lines of Python code around the
world, so any change in the language that invalidates more than a very small
fraction of existing programs has to be frowned upon.  Even if you can provide a
conversion program, theres still the problem of updating all documentation;
many books have been written about Python, and we dont want to invalidate them
all at a single stroke.
Providing a gradual upgrade path is necessary if a feature has to be changed.
PEP 5 describes the procedure followed for introducing backward-incompatible
changes while minimizing disruption for users."
Is Python a good language for beginning programmers?¶,"Yes.
It is still common to start students with a procedural and statically typed
language such as Pascal, C, or a subset of C++ or Java.  Students may be better
served by learning Python as their first language.  Python has a very simple and
consistent syntax and a large standard library and, most importantly, using
Python in a beginning programming course lets students concentrate on important
programming skills such as problem decomposition and data type design.  With
Python, students can be quickly introduced to basic concepts such as loops and
procedures.  They can probably even work with user-defined objects in their very
first course.
For a student who has never programmed before, using a statically typed language
seems unnatural.  It presents additional complexity that the student must master
and slows the pace of the course.  The students are trying to learn to think
like a computer, decompose problems, design consistent interfaces, and
encapsulate data.  While learning to use a statically typed language is
important in the long term, it is not necessarily the best topic to address in
the students first programming course.
Many other aspects of Python make it a good first language.  Like Java, Python
has a large standard library so that students can be assigned programming
projects very early in the course that do something.  Assignments arent
restricted to the standard four-function calculator and check balancing
programs.  By using the standard library, students can gain the satisfaction of
working on realistic applications as they learn the fundamentals of programming.
Using the standard library also teaches students about code reuse.  Third-party
modules such as PyGame are also helpful in extending the students reach.
Pythons interactive interpreter enables students to test language features
while theyre programming.  They can keep a window with the interpreter running
while they enter their programs source in another window.  If they cant
remember the methods for a list, they can do something like this:
With the interpreter, documentation is never far from the student as they are
programming.
There are also good IDEs for Python.  IDLE is a cross-platform IDE for Python
that is written in Python using Tkinter.
Emacs users will be happy to know that there is a very good Python mode for
Emacs.  All of these programming environments provide syntax highlighting,
auto-indenting, and access to the interactive interpreter while coding.  Consult
the Python wiki for a full list
of Python editing environments.
If you want to discuss Pythons use in education, you may be interested in
joining the edu-sig mailing list."
"Is there a source code level debugger with breakpoints, single-stepping, etc.?¶","Yes.
Several debuggers for Python are described below, and the built-in function
breakpoint() allows you to drop into any of them.
The pdb module is a simple but adequate console-mode debugger for Python. It is
part of the standard Python library, and is documented in the Library
Reference Manual. You can also write your own debugger by using the code
for pdb as an example.
The IDLE interactive development environment, which is part of the standard
Python distribution (normally available as
Tools/scripts/idle3),
includes a graphical debugger.
PythonWin is a Python IDE that includes a GUI debugger based on pdb.  The
PythonWin debugger colors breakpoints and has quite a few cool features such as
debugging non-PythonWin programs.  PythonWin is available as part of
pywin32 project and
as a part of the
ActivePython distribution.
Eric is an IDE built on PyQt
and the Scintilla editing component.
trepan3k is a gdb-like debugger.
Visual Studio Code is an IDE with debugging
tools that integrates with version-control software.
There are a number of commercial Python IDEs that include graphical debuggers.
They include:
Wing IDE
Komodo IDE
PyCharm
Yes.
Pylint and
Pyflakes do basic checking that will
help you catch bugs sooner.
Static type checkers such as Mypy,
Pyre, and
Pytype can check type hints in Python
source code.
You dont need the ability to compile Python to C code if all you want is a
stand-alone program that users can download and run without having to install
the Python distribution first.  There are a number of tools that determine the
set of modules required by a program and bind these modules together with a
Python binary to produce a single executable.
One is to use the freeze tool, which is included in the Python source tree as
Tools/freeze.
It converts Python byte code to C arrays; with a C compiler you can
embed all your modules into a new program, which is then linked with the
standard Python modules.
It works by scanning your source recursively for import statements (in both
forms) and looking for the modules in the standard Python path as well as in the
source directory (for built-in modules).  It then turns the bytecode for modules
written in Python into C code (array initializers that can be turned into code
objects using the marshal module) and creates a custom-made config file that
only contains those built-in modules which are actually used in the program.  It
then compiles the generated C code and links it with the rest of the Python
interpreter to form a self-contained binary which acts exactly like your script.
The following packages can help with the creation of console and GUI
executables:
Nuitka (Cross-platform)
PyInstaller (Cross-platform)
PyOxidizer (Cross-platform)
cx_Freeze (Cross-platform)
py2app (macOS only)
py2exe (Windows only)
Yes.  The coding style required for standard library modules is documented as
PEP 8."
Are there tools to help find bugs or perform static analysis?¶,"Yes.
Pylint and
Pyflakes do basic checking that will
help you catch bugs sooner.
Static type checkers such as Mypy,
Pyre, and
Pytype can check type hints in Python
source code."
How can I create a stand-alone binary from a Python script?¶,"You dont need the ability to compile Python to C code if all you want is a
stand-alone program that users can download and run without having to install
the Python distribution first.  There are a number of tools that determine the
set of modules required by a program and bind these modules together with a
Python binary to produce a single executable.
One is to use the freeze tool, which is included in the Python source tree as
Tools/freeze.
It converts Python byte code to C arrays; with a C compiler you can
embed all your modules into a new program, which is then linked with the
standard Python modules.
It works by scanning your source recursively for import statements (in both
forms) and looking for the modules in the standard Python path as well as in the
source directory (for built-in modules).  It then turns the bytecode for modules
written in Python into C code (array initializers that can be turned into code
objects using the marshal module) and creates a custom-made config file that
only contains those built-in modules which are actually used in the program.  It
then compiles the generated C code and links it with the rest of the Python
interpreter to form a self-contained binary which acts exactly like your script.
The following packages can help with the creation of console and GUI
executables:
Nuitka (Cross-platform)
PyInstaller (Cross-platform)
PyOxidizer (Cross-platform)
cx_Freeze (Cross-platform)
py2app (macOS only)
py2exe (Windows only)"
Are there coding standards or a style guide for Python programs?¶,"Yes.  The coding style required for standard library modules is documented as
PEP 8."
